query,keywords
football players articles datasets from tweets or blogs,football players;articles;tweets;blogs
sales/inventory Power BI & SSRS SQL,sales/inventory;Power BI;SSRS;SQL
dataset about sales/inventory specific to learn/tryout Power BI & SSRS,sales/inventory;learn/tryout Power BI & SSRS
dataset connected with sales/inventory,sales/inventory
"sales/inventory,supported SQL Server",sales/inventory;SQL Server
"dataset connected with sales/inventory, for SQL Server database",sales/inventory;SQL Server database
dataset preferably connected with sales/inventory specific to learn/tryout Power BI & SSRS,sales/inventory;learn/tryout Power BI & SSRS
dataset preferably connected with sales/inventory specific to learn/tryout Power BI & SSRS,sales/inventory;learn/tryout Power BI & SSRS
"sales/inventory specific to learn/tryout Power BI & SSRS, SQL ","sales/inventory;learn/tryout Power BI & SSRS, SQL"
datasets connected with with sales/inventory specific to learn/tryout Power BI & SSRS,sales/inventory;learn/tryout Power BI & SSRS
students marks final years high school first years university.,students marks;final years high school;first years university
dataset about marks of students in their final years at high school and first years at university,marks of students;final years at high school;first years at university
dataset which contains marks of students  in their final years at high school and first years at a particular university.,marks of students;final years at high school;first years at a particular university
"marks of students in their final years at high school and first years at a particular university,schools ",marks of students;final years at high school;first years at a particular university
dataset with marks of students in their final years at high school and first years at a particular university,marks of students;final years at high school;first years at a particular university
high school students final year and first year at university datasets,high school students;final year;first year at university
dataset which contains marks of students in their final years at high school and first years at a particular university,marks of students;final years at high school;first years at a particular university
dataset preferably connected with sales/inventory specific to learn/tryout Power BI & SSRS,sales/inventory;learn/tryout Power BI & SSRS
"marks of students of different schools and boards, final years at high school,  first years at a particular university",marks of students;final years at high school;first years at a particular university
datasets of students marks in their high school final years,students marks;high school final years
UK Life Sciences companies,UK;Life Sciences companies
"Provide number of related companies, turnover and employment within pharmaceutical, medical, technology, medical biotechnology and industrial biotechnology.",number;companies;turnover;employment;pharmaceutical;medical;technology;medical biotechnology;industrial biotechnology
Turnover rate within pharmaceutical and medical technology industry,Turnover rate;pharmaceutical;medical technology industry
UK Life Sciences company data,UK;Life Sciences company
UK Life Sciences company data number of related companies,UK;Life Sciences company;number;companies
"UK Life Sciences companies in pharmatceutical, medical, technology, and biotechnology industries",UK;Life Sciences companies;pharmatceutical;medical;technology;biotechnology industries
uk life sciences data related companies turnover employment by industry,uk;life sciences;companies;turnover;employment;industry
UK life science company data,UK;life science company
Find tables from 1980-1992 of input output supply,tables;1980;1992;input output supply
input-output supply and use tables starting from the year 1980 until 1992,tables;1980;1992;input-output supply and use
Input Output Supply and Use Tables from 1980 to 1992,Tables;1980;1992;Input Output Supply and Use
data table 1980 to 1992 Uk input output supply,table;1980;1992;Uk;input output supply
Input Output Supply and Use tables 1980 1992 revised,tables;1980;1992;Input Output Supply and Use
Input Output Supply and Use Tables from 1980-1992 any versions,Tables;1980;1992;Input Output Supply and Use
input output supply and use tables from 1980-1992,tables;1980;1992;input output supply and use
1980 1992 tables for input output supply and use,1980;1992;tables;input output supply and use
List of names of people who have been in NHS management within the past 10 years,List;past 10 years;names;people;NHS management
NHS management people in the last 10 years,last 10 years;NHS management people
NHS managers for past 10 years,past 10 years;NHS managers
Nhs management database 10 years,database;10 years;Nhs management
nhs management names in the past ten years,past ten years;nhs management;names
List all the names of the people who have been in NHS management in the past 10 years?,past 10 years;names of the people;NHS management
NHS managers in the last 10 years,last 10 years;NHS managers
research on issues related to insects at the end of the year,the end of the year;research on issues;insects
Statistics for numbers of users and activities for public sector owned leisure centers.,numbers of users and activities;public sector owned leisure centers
Public leisure centres with usage data and activities,Public leisure centres;usage data;activities
"leisure centre statistics on users, activities and peak times",leisure centre;users;activities;peak times
government owned community centers statistics on users activities time period,government owned community centers;users activities;time period
"Use of public sectors owned leisure, capacity, days and the times using",Use;public sectors owned leisure;capacity;days;times using
Activities and number of users public sector owned leisure centres,Activities;number of users;public sector owned leisure centres
public sector-owned leisure centres and statistics on users and activities,public sector-owned leisure centres;statistics on users;activities
"Which  leisure centres have activities on which days of the week, and what activities are people participating in?",leisure centres;activities;days of the week;activities
public sector owned leisure centre activity statistics per day week month time,per day week month;public sector owned leisure centre;activity
digital Broad Rental Market Areas with geographical boundaries,digital;Broad Rental Market Areas;geographical boundaries
number of people women age with 34 years old ?,34 years old;number;women
what are the ranges  in rent,ranges  in rent
Geographical boundaries for broad rental market areas in digital form,digital form;Geographical boundaries;broad rental market areas
how many woman age from 25 -34 years old are there?,25 -34 years old;woman
Broad Rental Market geographic boundaries,Broad Rental Market;geographic boundaries
rental market data,rental market
Legal broad rental market area maps,Legal;broad rental market area;maps
geographic boundaries of a broad rental market area,geographic boundaries;broad rental market area
businesses that employ over 1000 people in Yorkshire region,Yorkshire;1000;businesses
"List the businesses in the Yorkshire region which employ more than 1,000 people.","Yorkshire;1,000;businesses"
associated with search of lists of companies,lists;companies
where can i get job with the most popular country in  YORKSHIRE,YORKSHIRE;job;most popular country
Yorkshire employers with more than one thousand employees,Yorkshire;one thousand;employers
"Which businesses in Yorkshire are employing over 1,000 people?","Yorkshire;1,000;businesses"
Businesses in Yorkshire that employ over 1000 workers,Yorkshire;1000;Businesses
businesses with over 1000 employes yorkshire region,yorkshire;1000;businesses
businesses with in the Yorkshire region that employee more than 1000 people,Yorkshire;1000;businesses
"MoT failure rates on passenger cars by car marque and region for 2011, 2012 and 2013",2011;2012;2013;MoT failure rates on passenger cars;car marque;region
MOT passenger car failure rates by month for the years two thousand eleven thru thirteen,two thousand eleven thru thirteen;MOT passenger car failure rates;month
MOT failure rates on cars by region in 2011/2012/2013,2011;2012;2013;MOT failure rates on cars;region
Data for MOT  failure rates  on passenger cars  for 2011/2012/2013,2011;2012;2013;MOT  failure rates  on passenger cars
MOT failure rates passenger cars recent years,recent years;MOT failure rates passenger cars
2011-2013 MoT failure rates on passenger cars,2011;2013;MoT failure rates on passenger cars
What is the MOT failure rate on passenger cars in 2011?,2011;MOT failure rate on passenger cars
What is the MOT failure rate from 2011-2013,2011;2013;MOT failure rate
failure rates by month from 2008,2008;failure rates;month
Monthly MOT failure rates 2008-2010,2008;2010;Monthly;MOT failure rates
Data of offices and office building spaces that can accommodate 200 persons in Central and Greater London,Central and Greater London;200;offices;office building spaces
Liking to find data about office building in Central London and greater London with 200 or more people,Central London;greater London;200;office building
Looking to find office buildings in central London and greater London for 200 or more people ?,central London;greater London;200;office buildings
Looking for data about office building in central or greater London for 200 or more people ?,central or greater London;200;office building
Looking for data about office building in central or greater London for 200 or more people ?,central or greater London;200;office building
Office  building with more than 200 people in London,London;200;Office  building
Search for office buildings in Central London and Greater London that houses 200 or more people,Central London;Greater London;200;office buildings
Office buildings that accommodate 200 people in Central London and Greater London,Central London;Greater London;200;Office buildings
bicycle accidents on London Roads,London;bicycle accidents
London roads accidents involving bicycles,London;accidents involving bicycles
datasets for bicycle accidents on London roads,London;bicycle accidents
Bicycle Accidents on London Roads,London;Bicycle Accidents
number of bike accidents in London,London;bike accidents
bicycle accidents on london roads,london;bicycle accidents
bicycle accidents in London Road,London;bicycle accidents
Data for bicycle accidents in London,London;bicycle accidents
Number of bicycle accidents on London roads.,London;Number;bicycle accidents
number of bicycle accidents per London road,London;number;bicycle accidents
Deaths in last 20 years,last 20 years;Deaths
Total number of deaths by age last 20 years,last 20 years;Total number of deaths;age
"provide a data set for the number of all deaths, by age, within the last 20 years.",last 20 years;number of all deaths;age
List number of deaths by age for the last 20 years.,last 20 years;number of deaths;age
Mortality rate for the 20 years from 1997 to 2017 ordered by age.,the 20 years;1997;2017;Mortality rate;age
death counts over the past 20 years and how old they were when they died,past 20 years;death counts;how old
Deaths by age,Deaths;age
How many deaths have been recorded in the last 20 years?,last 20 years;deaths
What are the number of deaths in the last 20 years by age with drug use,last 20 years;number of deaths;age;drug use
number of deaths in 20 years,20 years;number of deaths
Water hardness by are of the UK,UK;Water hardness
Give me the EU's water hardness classification and geo-json boundaries,EU;geo-json;EU's water hardness;classification;geo-json boundaries
"Want data for England, Scotland, Wales similar to this below that is similar",England;Scotland;Wales
"What is the water hardness classification in England, Scotland, and Wales?",England;Scotland;Wales;water hardness;classification
"Search for data for the England, Scotland, Wales water hardness classification and the geo-son boundaries.",England;Scotland;Wales;geo-son;water hardness;classification;geo-son boundaries
water hardness for NI,NI;water hardness
"Water hardness classification and geographical boundaries data for England, Scotland and Wales.",England;Scotland;Wales;Water hardness;classification;geographical boundaries
Provide data on water hardness boundaries within the UK.,UK;water hardness boundaries
"Water hardness classification and the geo boundaries for England, Scotland and Wales",England;Scotland;Wales;Water hardness;classification;geo boundaries
Land Use Statistics in London,London;Land Use
Percentage of total land area classified residential in London 2013,London;2013;Percentage of total land area classified residential
provide Land Use Statistics for London for the year 2013,London;2013;Land Use
Statistics for the year 2013 in land use,2013;land use
Land use statistics for London yearly,London;Land use;yearly
land use statistics,land use
stats for land use in  London  for the  year two thousand thirteen,London;two thousand thirteen;land use
Generalised land use database London,London;Generalised land use
data information,
data information,
Pollution average data,Pollution average
Monthly modelled pollution data from 2011 to present,2011;Monthly modelled;pollution
Pollution data for pm 10 from January 2011 to the present.,January 2011;Pollution;pm 10
Monthly average modeled background pollution from 2011-2015 across U.K.,2011;2015;U.K.;Monthly average modeled;background pollution
What is the pollution data for each month beginning with January 2011?,January 2011;pollution;each month
Background pollution data for PM10 from January two thousand eleven to present,January two thousand eleven to present;Background pollution data for PM10
Monthly average for background PM10 pollution,Monthly;background PM10 pollution
ATM location type and owner,ATM;location;type;owner
"locations of ATMs in UK with address, owner, and surcharge",UK;locations;ATMs in UK;address;owner;surcharge
database for the location of all ATMs within the UK,UK;location;ATMs within the UK
date where 34 year old women were assigned?,34;women
Information data,
"physical locations of UK ATM locations, ATM types and ATM owners",UK;physical locations;UK ATM locations;ATM types;ATM owners
Want a location database who holds all ATM within UK ?,UK;location
Want database which hold all ATM location within the UK ?,UK;ATM location within the UK
Want data of database which holds all ATM location within UK,UK;ATM location within UK
How much fain fell per hour  between may 2007 and June 2012?,may 2007;June 2012;fain fell per hour
hourly rainfall in South Yorkshire detailed weather records South Yorkshire South Yorkshire rainfall data,South Yorkshire;South Yorkshire;South Yorkshire;hourly rainfall
hourly rainfall records near South Yorkshire,South Yorkshire;hourly rainfall records
DN12 South Yorkshire hourly rainfall records by year,DN12 South Yorkshire;hourly rainfall records by year
What is hourly rainfall records for DN12?,DN12;hourly rainfall records
Hourly rainfall records South Yorkshire 2007-2012,South Yorkshire;2007;2012;Hourly rainfall records
"Rainfall records nearest DN12 South Yorkshire for May, December, and June 2007-2012","DN12 South Yorkshire;May, December, and June;2007;2012;Rainfall records"
Hourly rainfall records for DN12 hourly,DN12;Hourly rainfall records;hourly
Properties were selling  in the year 1991,1991;Properties were selling
House prices,House prices
property prices for sales from 1991 in my council,1991;my council;property prices;sales
property price,property price
people searches based on ethnicities,ethnicities;people searches
Property prices south west 91,south west;91;Property prices
what was the average price of property sold in Wiltshire in 1991,Wiltshire;1991;average price of property
What was the sale price of properties in Wiltshire in 1991,Wiltshire;1991;sale price of properties
What are the price paid for properties from 1995 until 2017 in the UK?,1995;2017;UK;price paid for properties
All council tax bands for all councils,all councils;council tax bands
Current council tax bands for all councils,all councils;Current council tax bands
All Council tax bands sorted by council,Council tax bands;council
recent council tax bands for all councils,all councils;recent council tax bands
what are all the different tax bands for each council?,each council;different tax bands
record of all council tax bands,council tax bands
look for the record of all tax bands of all councils,all councils;tax bands
Show all council tax bands for all councils.,all councils;council tax bands
all current council tax bands for all council,all council;current council tax bands
"Air quality data for Nottingham before, during, and after Monday, March 30th","Nottingham;Monday, March 30th;Air quality"
Daily air quality data for Nottingham from 30.3.17 onwards including chemical analysis.,Nottingham;30.3.17;Daily air quality;chemical analysis
Nottingham air quality decline from Sunday 29th March to today,Nottingham;Sunday 29th March;air quality
Nottingham present year to date Air Quality Data with chemical detection,Nottingham;present year to date;Air Quality;chemical detection
Nottingham air quality data March 30 to present with chemical identification,Nottingham;March 30 to present;air quality;chemical identification
Nottingham March thirtieth Air quality data before and after,Nottingham;March thirtieth;Air quality
air quality data for Nottingham from Monday 30th March till the present,Nottingham;Monday 30th March till the present;air quality
Nottingham air quality data from March 30th till date,Nottingham;March 30th till date;air quality
air quality nottingham march 30th recent data chemical identification,nottingham;march 30th;air quality;chemical identification
"What were the price range of sales, location of residential properties sold in Wales, UK after 1995?","Wales, UK;1995;price range;sales;location of residential properties"
House sale prices by postcode from April 1989 to April 1993,April 1989;April 1993;House sale prices;postcode
What is the sales price for postcodes from April 1989 to April 1993,April 1989;April 1993;sales price for postcodes
House sale prices April 1989-1993,April 1989;1993;House sale prices
House Sale Values in Postcodes TW5 area,Postcodes TW5 area;House Sale Values
House sale prices for TW area between April 1989 and April 1993,TW area;April 1989;April 1993;House sale prices
house sale prices,house sale prices
House sale prices Summerhouse Avenue from the year 1989 to 1993,Summerhouse Avenue;1989;1993;House sale prices
HOME SALE PRICES FOR THIS AREA BETWEEN APRIL 1989 AND APRIL 1993,THIS AREA;APRIL 1989;APRIL 1993;HOME SALE PRICES
house sale prices from April 1989,April 1989;house sale prices
What are the house prices between April 1989 and 1993?,April 1989;1993;house prices
Data of 20 year span cancer causes by age,20 year;cancer causes;age
Twenty year span of certified cancer deaths by age,Twenty year;certified cancer deaths;age
How many deaths from cancer with age,deaths from cancer;age
How many people has cancer killed in the last 20 years,last 20 years;people has cancer killed
Number of deaths caused by cancer in last 20 years (by age),last 20 years;Number of deaths caused by cancer;age
Age of people who died from cancer in the last 20 years,last 20 years;Age;people who died from cancer
Find how many deaths were caused by cancer in the last twenty years.,last twenty years;deaths were caused by cancer
Cancer deaths by age for the last 20 years,last 20 years;Cancer deaths by age
Total amount of cancer deaths in the last 20 years by age?,last 20 years;amount of cancer deaths;age
cancer deaths by age last 20 years,last 20 years;cancer deaths;age
Which are the disposal mode of the deceased in the UK by 2017?,UK;2017;disposal mode of the deceased
"Annual total deaths for UK giving breakdown of cremation, burial, water, natural or other mode of disposal",UK;Annual total deaths;cremation;burial;water;natural;other mode of disposal
Annual deaths including disposal mode,Annual deaths;disposal mode
WHAT IS THE MODE OF DISPOSAL OF THE DECEASED IN THE UK,UK;MODE OF DISPOSAL;DECEASED
In the United Kingdoms how many types per annual of types of death disposal ways of the corpses?,the United Kingdoms;types;death disposal ways
mode of disposal of the deceased data,mode of disposal;deceased
What is the amount of deaths annually?,amount of deaths;annually
List of annual deaths in the United Kingdom and method of disposal,the United Kingdom;annual deaths;method of disposal
disposal method of deceased in UK annually,UK;disposal method;deceased;annually
UK data for mode of deceased disposal,UK;mode of deceased disposal
database of live traffic camera images,camera images;live traffic
Highways Agency list of locations and images to live traffic cameras,images;Highways Agency;locations;images;live traffic cameras
Live traffic camera images locations Highways Agency,images;Live traffic camera;images;locations;Highways Agency
Highways Agency Traffic,Highways Agency Traffic
database of live traffic camera from Highways Agency,live traffic camera;Highways Agency
Live traffic camera images database from the Highway Agency,images;Live traffic camera images;Highway Agency
Highways Agency traffic Camera Images and list of camera locations,Images;Highways Agency traffic Camera;camera locations
hourly traffic count,hourly traffic count
Traffic Data for London including air pollution by vehicle classification,London;Traffic;air pollution;vehicle classification
Traffic data UK,UK;Traffic
People and vehicle searches,People;vehicle
London traffic pollution and air quality,London;traffic pollution;air quality
hourly traffic count by vehicle speed classification related to road sites air pollution,traffic count;vehicle speed;air pollution
"London air quality network hourly sub hourly traffic count, vehicle classification, speed and air pollution",London;air quality network;hourly traffic count;vehicle classification;speed;air pollution
Hourly traffic count including vehicle class and speeds,Hourly traffic count;vehicle class;speeds
Annual time-series daily traffic flow of Birmingham,Birmingham;Annual time-series;daily traffic flow
Annual highway traffic,Annual;highway traffic
Daily traffic flow for Birmingham for the year.,Birmingham;the year;Daily;traffic flow
Birmingham daily traffic flow time-series,Birmingham;daily;traffic flow
Annual time-series daily traffic flow of Birmingham,Birmingham;Annual;daily;traffic flow
annual daily traffic flow of Birmingham,Birmingham;annual;daily;traffic flow
"Annual daily traffic time series, birmingham",birmingham;Annual;daily;traffic
daily traffic flow,daily;traffic flow
Transport Data Highways Birmingham city council,Birmingham;Transport
Birmingham daily traffic flow annually,Birmingham;daily traffic flow;annually
small area wealth analysis OA level income benefits,wealth analysis;OA level;income benefits
average gross taxable income in a small area,small area;average gross taxable income
"Wealth analysis, average gross income, untaxed state benefits",Wealth analysis;average gross income;untaxed state benefits
Average gross taxable at OA level,Average gross taxable at OA level
Areas that have a small population of wealthy citizens,Areas;small population of wealthy citizens
"Sort analysis of wealth including taxable income, averaged untaxed state benefit",analysis of wealth;taxable income;averaged untaxed state benefit
analysis of wealth in small areas average gross taxable income,analysis of wealth;average gross taxable income
"What is the income per capita in rural Miami, and the average amount taxes paid, per worker?",rural Miami;income per capita;average amount taxes paid;worker
provide income wealth for small areas at OA level to include average gross taxable and untaxed state benefits,income wealth;OA level;average gross taxable and untaxed state benefits
income data in cities with less than ten thousand people,ten thousand;income;cities
dataset of graphs for scarlet fever notifications in the UK from 2009-2015,graphs;UK;2009;2015;scarlet fever notifications
Data of scarlet fever notifications in UK for 2009/2010 through 2014/2015,UK;2009;2010;2014;2015;scarlet fever notifications
Information data,
who were the people sought on the date 2017/02/02?,2017/02/02;people
"Find  scarlet fever data for 2009,2010,2014,2015",2009;2010;2014;2015;scarlet fever
Search for the graph of fever notifications in the UK displaying data from2009/2010,graph;UK;2009;2010;fever notifications
data graphs from 2009 to 2015 for scarlet fever notifications,graphs;2009;2015;scarlet fever notifications
"Diagnosed cases of Scarlet fever in the UK, 2009/2010 and 2014/2015",UK;2009;2010;2014;2015;Diagnosed cases
Want updates that is of scarlet fever notification in UK ?,UK;scarlet fever notification
"for the time period Autumn 2013 to Spring 2014, daily water depth or discharge data, Parrett Catchment",Autumn 2013;Spring 2014;Parrett Catchment;daily;water;depth;discharge
Daily water depth and discharge data in Parrett Catchment from Autumn 2013 to Spring 2014,Parrett Catchment;Autumn 2013;Spring 2014;Daily;water;depth;discharge
Discharge data River Gauging 2013,2013;River Gauging
Water Depth in Parrett Catchment,Parrett Catchment;Water;Depth
Parrett Catchment stations daily water depth and discharge last four years,Parrett Catchment;last four years;stations;daily;water;depth;discharge
River Parrett Catchment gauging data,Parrett Catchment;River
Daily water depth for stations across the Parrett  Catchment from Autumn 2013 to Spring 2014,Parrett  Catchment;Autumn 2013;Spring 2014;Daily;water;depth;stations
daily water depth data between Autumn 2013 and Spring 2014,Autumn 2013;Spring 2014;daily;water;depth
Daily discharge data for all stations across Parrett Catchment  from autumn 2013 to Spring 2014,Parrett Catchment;autumn 2013;Spring 2014;Daily;discharge;stations
What is the River Ribble Data for April and May 2015?,River Ribble;April;May 2015;River Ribble
"Flow Data for the River Ribble April through May 2015, Locks Weir, Penny Bridge, Stainforth",River Ribble;April;May 2015;Locks Weir;Penny Bridge;Stainforth;Flow
find flow data for the river Ribble  between april 25th  to may 13th 2015,river Ribble;april 25th;may 13th 2015;flow
data information,
Station data for Locks Weir for the period 25th April 2015 to 13th May 2015,Locks Weir;25th April 2015;13th May 2015;Station
"gauging station and level-station for Locks Weir, Penny Bridge, and Stainforth.",Locks Weir;Penny Bridge;Stainforth;gauging station;level-station
"River ribble flow data, gauging station and level",River ribble;flow;gauging station;level
data information,
River Ribble detailed flow data,River Ribble;flow
"Sodium Chloride Particulates in Air, or related dataset",Sodium Chloride Particulates in Air
Give me a concise and dataset that measures the annual chloride particulate pollution in the UK,UK;annual;chloride particulate pollution
number to person  of date 2017-02-01?,2017-02-01;number;person
Want data for dataset that models airborne salination in the UK ?,UK;airborne salination
data on sodium chloride particulates in the air across UK,UK;sodium chloride particulates in the air
Want data that is about dataset that models airborne salination across UK,UK;airborne salination
Want to know data for dataset that models airborne salination across the UK,UK;airborne salination
chloride particulates airborne salination across the UK measured by mean background pollution or accumulated annual particulate deposition,UK;chloride particulates airborne salination;mean background pollution;accumulated annual particulate deposition
What is the number of sodium chloride particulates as it correlates to the accumulated annual particulate deposition?,number;accumulated annual particulate deposition
Search for the national record of all water related fatalities and indigents in the UK.,UK;water;fatalities;indigents
Water related deaths and accidents in the UK,UK;Water;deaths;accidents
water related fatalities UK,UK;water;fatalities
look for the national record of all water related facilities and incidents in the uk,uk;water;facilities;incidents
Record of UK water related fatalities and incidents,UK;water;fatalities;incidents
Data of water related deaths and accidents in UK.,UK;water;deaths;accidents
Provide data on all of the water related fatalities and incidents in the UK.,UK;water;fatalities;incidents
UK water related fatalities and incidents,UK;water;fatalities;incidents
UK Water Safety Fatalities and Incidents,UK;Water Safety;Fatalities;Incidents
record of water related fatalities and incidents UK only,UK;water;fatalities;incidents
number of woman with 34 years old?,34;number;woman
data set with chemical compounds and legends,chemical compounds;legends
drug design related date about the chemical compounds and legends,drug design;chemical compounds;legends
data information,
find data about chemical compounds and their legends,chemical compounds;legends
Chemical compounds and their possible legends,Chemical compounds;legends
Chemical compounds and possible legends,Chemical compounds;legends
Chemical compounds in drugs,Chemical compounds;drugs
Chemical compounds used in drug design.,Chemical compounds;drug design
academy trusts and member schools/academies primary and secondary,primary;secondary;academy trusts;member;schools;academies
member schools Academy Trusts including CEO address head teacher student numbers age range phone number,schools Academy Trusts;CEO address;head teacher;student numbers;age range;phone number
academy trusts and member schools/datasets,academy trusts;member;schools
trust information,trust
Academy Trusts - Primary and Secondary CEO address,Primary;Secondary;Academy Trusts;CEO address
"Academy trust  head teacher, address, number of students, age range, telephone number",Academy trust;head teacher;address;number of students;age range;telephone number
find dataset of all low bridges in the United Kingdom and lit by area post code,United Kingdom;low bridges;area post code
Want a list a list of post codes and identifier of all low bridges in UK,list;UK;post codes;identifier;low bridges
Data set UK postal codes and id for all low bridges,UK;UK postal codes;id;low bridges
Want list by post code and identifier of all low bridges in UK,list;UK;post code;identifier;low bridges
low bridges in the uk by post code and identifier,uk;low bridges;post code;identifier
United Kingdom list of bridge heights by postal code,United Kingdom;list;bridge heights;postal code
Want list by post code and identifier of all low bridges in UK,list;UK;post code;identifier;low bridges
Low bridges in the United Kingdom by post code,United Kingdom;Low bridges;post code
low bridges in UK including post code,UK;low bridges;post code
Want list by post code and identifier of all low bridge in UK,UK;post code;identifier;low bridge
How many passengers travel through Kingston to Guildford in one year?,Kingston;Guildford;in one year;passengers
traffic Rail passager data UK,UK;traffic Rail passager
What is the number of passengers who traveled between Kingston and Guildford?,Kingston;Guildford;number;passengers
What is the yearly rail passenger numbers for Kingston to Guildford?,Kingston;Guildford;yearly;rail passenger;numbers
annual passenger data traffic,annual;passenger
Number of UK railway passengers from Kingston to Guildford last year,UK;Kingston;Guildford;last year;Number;railway passengers
Annual railway ridership,Annual;railway ridership
What is the data for rail passenger throughput numbers for UK journeys?,UK;rail passenger;numbers
Rail passenger yearly throughput numbers UK,UK;Rail passenger;yearly;numbers
rail passenger point to point in uk of one year,uk;one year;rail passenger
UK Armed Forces Stats on Conscription recruitment from 1948 to 1952,1948;1952;UK Armed Forces Stats on Conscription recruitment
Statistics for conscription to UK Armed Forces from 1948 to 1952 inclusive,1948;1952;conscription to UK Armed Forces
Information data,
What are the statistics on annual recruitment by the UK Armed Forces,annual;recruitment by the UK Armed Forces
show me Statisitics on Recruitment by Conscription to the UK Armed Forces in 1948 and annually until 1952,1948;1952;Conscription to the UK Armed Forces;annually
find data on recruitment statistics by conscription to the UK armed forces in 1948 and annually until 1952,1948;1952;conscription to the UK armed forces;annually
Recruitment by Conscription to the UK Armed Forces in 1948,1948;Conscription to the UK Armed Forces
data information,
Recruitment by  conscripton to the UK Armed Forces,conscripton to the UK Armed Forces
UK armed forces stats,UK armed forces
What are the requested forms for naturalization in the UK by 2004-2013?,UK;2004;2013;requested forms;naturalization
Naturalisation figures for US and UK from 2004 to 2013 by region and country of birth,figures;US;UK;2004;2013;Naturalisation;region;country of birth
naturalisations in the UK 2004-2013 data,UK;2004;2013;naturalisations
Data on naturalisations in the UK 2004-2013 by region and birth country,UK;2004;2013;naturalisations;region;birth country
demographics of naturalised immigrants in the UK from 2004-2013,UK;2004;2013;naturalised immigrants
Information on naturalisations in the UK between the years 2004 - 2013 by country and by region,UK;2004;2013;naturalisations;country;region
UK naturalisations 2004-2013 by region and country of birth,UK;2004;2013;naturalisations;region;country of birth
data regarding natualisations in the UK per year for years 2004-2013,UK;2004;2013;natualisations
Provide data on the United States and United Kingdom immigration policies and appeal to immigrants.,United States;United Kingdom;immigration policies;immigrants
C&I waste management data for years 2007-2013,2007;2013;C&I waste management
Monthly or quarterly or annual commercial and industrial waste management data from 2007-2013.,2007;2013;Monthly;quarterly;annual;commercial;industrial;waste management
commercial and industrial waste management data from 2007 to 2013,2007;2013;commercial;industrial;waste management
What is the Monthly commercial and industrial waste management data from 2007 - 2013,2007;2013;Monthly;commercial;industrial;waste management
Monthly or quarterly or annual commercial and industrial waste management data for the periods 2007 to 2013,2007;2013;Monthly;quarterly;annual;commercial;industrial;waste management
waste management data commercial,waste management;commercial
Monthly waste management data for 2007-2013,2007;2013;Monthly;waste management
Commercial and Industrial waste management data for latest reported period,latest reported period;Commercial;Industrial;waste management
Latest annual data for Commercial and Industrial waste management,annual;Commercial;Industrial;waste management
Give me a periodic commercial and industrial waste management data,commercial;industrial;waste management
driver vehicle licensing agency vehicle registration number plate,driver vehicle licensing agency vehicle registration;number plate
Find  all license plates registered in GB.,GB;license plates
all licensed and unlicensed vehicles in Great Britain DVLA database,Great Britain DVLA;licensed and unlicensed vehicles
driver vehicle licensing agency database of all vehicles with registration number plate,driver vehicle licensing agency;vehicles with registration number plate
search for the driver vehicles licencing agancy database,driver vehicles licencing agancy;driver vehicles licencing agancy
LIST OF ALL VEHICLES REGISTERED IN DVLA,DVLA;VEHICLES
driver vehicle licencing agency licence number plates,driver vehicle licencing agency;licence number plates
List all  licensed and unlicensed vehicles registered  including the Vehicle registration number plate.,licensed and unlicensed vehicles;Vehicle registration number plate
Driver Vehicle Licensing Agency Vehicles Database,Driver Vehicle Licensing Agency;Vehicles
DVLA database access licensed vehicles in Great Britain list  vehicle registration database,DVLA;Great Britain;licensed vehicles;vehicle registration
What is the cost of elderly care by their local authority,cost;elderly care;local authority
Number of people in nursing homes and cost to local authorities,Number;people in nursing homes;cost to local authorities
Elderly people in nursing homes funded by authoritys,Elderly people in nursing homes funded by authoritys
Show me data containing information on elderly people in residential or care homes funded by government,elderly people in residential or care homes funded by government
elderly persons funded by local authority,elderly persons funded by local authority
Give me data of government funded elderly people homes,government funded elderly people homes
Give me a data of elderly people living in residential homes,elderly people living in residential homes
care elderly expenditure per year local authority breakdown,care elderly expenditure;year;local authority breakdown
books of fluid therapy in veterinary medicine edition of 2017,books of fluid therapy in veterinary medicine
number and cost  elderly people on their local authority,number;cost;elderly people on their local authority
Weather for West Street from April 2007 to September 2008,West Street;April 2007;September 2008;Weather
person search data,
Rainfall data for five April two thousand seven to September two thousand eight in west street Glasgow,five April two thousand seven;September two thousand eight;west street Glasgow;Rainfall
"Inches of rain in West Street, Glassgow from April to September","West Street, Glassgow;April;September;Inches;rain"
weather report,weather report
weather west street uk april september 2007-2008,west street uk;april september 2007;2008;weather
Rainfall amounts in West Street Glasgow from April 2007 to September the following year,West Street Glasgow;April 2007;September the following year;Rainfall amounts
"Rainfall over West Street, Glasgow during the second half of 2007","West Street, Glasgow;second half of 2007;Rainfall"
"Rain fall data in West Street, Glasgow from April to September","West Street, Glasgow;April;September;Rain fall"
National metadata inc. geographical and classification data,National metadata inc.;National metadata inc.;geographical;classification
List of all Unique Street Reference Number along with its metadata,Unique Street Reference Number;metadata
full national list of unique street reference numbers and metadata,national;unique street reference numbers;metadata
List all USRNs and their metadata.,USRNs;metadata
"Provide, Unique Street Reference Numbers, with geographic coordinates and classification information.",Unique Street Reference Numbers;geographic coordinates;classification
Unique Street Reference Number metadata national list,Unique Street Reference Number;metadata;national
Want full national list of unique street reference number,national;unique street reference number
